id;start_date;end_date;language
1;2020-11-22T21:28:27;2020-11-22T19:18:42;SPANISH
2;2020-11-22T02:18:38;2020-11-22T21:23:03;SPANISH
3;2020-11-22T17:13:57;2020-11-22T03:48:06;FRENCH
4;2020-11-22T08:31:28;2020-11-22T20:02:54;FRENCH
5;2020-11-22T18:01:46;2020-11-22T22:48:45;FRENCH
6;2020-11-22T11:54:07;2020-11-23T00:02:21;FRENCH
7;2020-11-22T13:39:27;2020-11-22T07:30:18;FRENCH
8;2020-11-22T12:35:40;2020-11-22T22:51:48;SPANISH
9;2020-11-22T11:16:49;2020-11-22T07:58:12;SPANISH
10;2020-11-22T19:28:53;2020-11-22T06:03:23;SPANISH
